OrderNumber,Sales Channel,OrderDate,DeliveryDate,DeliveryTime,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Unit Price,Unit Cost,Revenue,Gross Margin
SO - 000101,In-Store,2018-05-31,2018-06-19,19,6,15,259,12,5,1963.[phone],1001.181,9815.5,4809.[phone]
SO - 000102,Online,2018-05-31,2018-07-02,32,14,20,196,27,3,3939.6,3348.66,11818.8,1772.[phone]
SO - 000103,Distributor,2018-05-31,2018-07-01,31,21,16,213,16,1,1775.5,781.22,1775.5,994.28
SO - 000104,Wholesale,2018-05-31,2018-06-07,7,28,48,107,23,8,2324.9,1464.[phone],18599.2,6881.704
SO - 000105,Distributor,2018-05-31,2018-06-26,26,22,49,111,26,8,1822.4,1476.[phone],14579.2,2770.[phone]
SO - 000106,Online,2018-05-31,2018-06-13,13,12,21,285,1,5,1038.5,446.555,5192.5,2959.725
SO - 000107,In-Store,2018-05-31,2018-06-14,14,10,14,6,5,4,1192.[phone],536.[phone],4770.[phone],2623.[phone]
SO - 000108,In-Store,2018-05-31,2018-07-01,31,6,9,280,46,5,1815.7,1525.[phone],9078.5,1452.[phone]
SO - 000109,In-Store,2018-06-01,2018-06-21,20,4,9,299,47,4,3879.3,2211.201,15517.2,6672.[phone]
SO - 000110,In-Store,2018-06-01,2018-07-01,30,10,33,261,13,8,1956.4,1212.968,15651.2,5947.456
SO - 000111,Distributor,2018-06-01,2018-06-20,19,23,21,17,38,6,201.0,124.62,1206.0,458.28
SO - 000112,In-Store,2018-06-01,2018-06-17,16,10,21,152,40,5,6277.[phone],2762.[phone],31389.[phone],10571.54475
SO - 000113,In-Store,2018-06-01,2018-07-02,31,4,36,317,39,5,1051.9,641.659,5259.5,2051.205
SO - 000114,In-Store,2018-06-01,2018-06-15,14,8,17,291,32,6,254.6,216.41,1527.6,229.[phone]
SO - 000115,In-Store,2018-06-01,2018-06-20,19,9,32,138,6,6,3932.9,3146.32,23597.4,4719.48
SO - 000116,In-Store,2018-06-01,2018-07-02,31,5,11,354,25,3,1112.2,700.686,3336.[phone],1234.[phone]
SO - 000117,In-Store,2018-06-01,2018-06-27,26,9,10,320,6,3,1239.5,904.[phone],3718.5,1003.[phone]
SO - 000118,In-Store,2018-06-01,2018-06-14,13,8,30,21,3,4,984.9,393.[phone],3939.6,2363.[phone]
SO - 000119,In-Store,2018-06-01,2018-06-15,14,5,5,349,20,4,5581.1,3948.[phone],22324.4,5804.[phone]
SO - 000120,Online,2018-06-01,2018-06-17,16,14,23,134,24,4,3095.4,1795.[phone],12381.6,5200.[phone]
SO - 000121,Wholesale,2018-06-01,2018-06-20,19,25,46,193,33,4,2278.0,1754.06,9112.0,2095.76
SO - 000122,In-Store,2018-06-02,2018-06-16,14,2,14,282,1,7,991.6,654.456,6941.2,2360.008
SO - 000123,In-Store,2018-06-02,2018-06-28,26,7,40,20,35,2,3979.8,3064.[phone],7959.6,1830.[phone]
SO - 000124,Distributor,2018-06-02,2018-07-02,30,24,19,218,15,3,1969.8,866.712,5909.4,3309.[phone]
SO - 000125,In-Store,2018-06-02,2018-06-24,22,4,15,173,13,1,268.0,131.32,268.0,136.68
SO - 000126,Online,2018-06-02,2018-07-01,29,18,46,110,24,7,174.[phone],95.[phone],1219.4,548.73
SO - 000127,In-Store,2018-06-02,2018-07-06,34,7,32,229,46,3,2988.[phone],2510.088,8964.6,1434.[phone]
SO - 000128,In-Store,2018-06-02,2018-06-29,27,9,32,238,36,4,3999.9,2679.[phone],15999.6,5279.[phone]
SO - 000129,Distributor,2018-06-02,2018-06-22,20,20,22,97,37,3,5976.[phone],2450.324,17929.2,10571.54475
SO - 000130,In-Store,2018-06-02,2018-06-29,27,8,5,103,32,5,2901.1,2378.[phone],14505.5,2610.[phone]
SO - 000131,In-Store,2018-06-03,2018-07-05,32,8,29,305,23,7,6076.[phone],2734.[phone],31463.2,10571.54475
SO - 000132,Online,2018-06-03,2018-06-10,7,13,35,303,14,7,5735.2,3948.[phone],31463.2,10571.54475
SO - 000133,Online,2018-06-03,2018-07-10,37,19,46,217,7,3,3919.5,2077.335,11758.5,5526.495
SO - 000134,Online,2018-06-03,2018-07-05,32,17,42,362,46,1,6083.6,3832.668,6083.6,2250.[phone]
SO - 000135,Wholesale,2018-06-03,2018-06-15,12,26,2,335,40,5,2566.1,1642.304,12830.5,4618.98
SO - 000136,Distributor,2018-06-03,2018-06-13,10,22,28,84,38,2,2278.0,1093.44,4556.0,2369.12
SO - 000137,In-Store,2018-06-03,2018-06-21,18,7,46,256,1,1,261.3,120.[phone],261.3,141.102
SO - 000138,Online,2018-06-03,2018-07-08,35,12,22,360,17,8,998.[phone],698.[phone],7986.[phone],2395.92
SO - 000139,In-Store,2018-06-03,2018-06-21,18,4,34,90,40,6,3497.4,1958.[phone],20984.4,9233.[phone]
SO - 000140,In-Store,2018-06-03,2018-06-28,25,9,26,196,25,4,1132.3,486.[phone],4529.2,2581.[phone]
SO - 000141,In-Store,2018-06-03,2018-06-17,14,7,26,40,2,7,2405.3,1587.[phone],16837.[phone],5724.614
SO - 000142,Distributor,2018-06-03,2018-07-03,30,24,24,367,3,8,5701.7,3249.[phone],31463.2,10571.54475
SO - 000143,Distributor,2018-06-04,2018-06-16,12,25,18,249,34,1,2452.[phone],1446.798,2452.[phone],1005.[phone]
SO - 000144,In-Store,2018-06-04,2018-07-04,30,11,21,6,11,3,3095.4,2012.[phone],9286.2,3250.17
SO - 000145,Online,2018-06-04,2018-06-14,10,15,14,212,8,4,3865.9,2164.[phone],15463.6,6803.[phone]
SO - 000146,Distributor,2018-06-04,2018-06-15,11,23,3,37,11,8,2304.8,1382.88,18438.4,7375.[phone]
SO - 000147,Online,2018-06-04,2018-06-24,20,17,13,38,35,3,3195.9,1470.114,9587.7,5177.358
SO - 000148,Online,2018-06-04,2018-06-26,22,18,49,294,33,7,6452.1,3948.[phone],31463.2,9032.[phone]
SO - 000149,Distributor,2018-06-05,2018-06-17,12,24,4,105,16,3,2003.3,921.518,6009.9,3245.[phone]
SO - 000150,Distributor,2018-06-05,2018-07-07,32,23,20,17,8,8,3638.1,1455.24,29104.8,10571.54475
SO - 000151,In-Store,2018-06-05,2018-06-17,12,4,19,109,44,3,2278.0,1822.4,6834.0,1366.[phone]
SO - 000152,Online,2018-06-05,2018-06-29,24,16,25,141,22,6,924.6,582.498,5547.6,2052.612
SO - 000153,Online,2018-06-05,2018-07-01,26,19,8,111,16,5,3926.[phone],3062.436,19631.0,4318.82
SO - 000154,Distributor,2018-06-05,2018-06-18,13,23,24,349,25,4,3825.[phone],2257.163,15302.[phone],6274.[phone]
SO - 000155,Wholesale,2018-06-05,2018-07-08,33,27,13,360,4,3,2257.9,1377.319,6773.[phone],2641.[phone]
SO - 000156,Distributor,2018-06-06,2018-07-08,32,24,32,148,33,8,1112.2,756.296,8897.6,2847.232
SO - 000157,Online,2018-06-06,2018-06-23,17,19,28,103,45,8,3557.[phone],1814.[phone],28461.[phone],10571.54475
SO - 000158,Online,2018-06-06,2018-06-12,6,13,8,59,45,3,2371.8,1233.[phone],7115.[phone],3415.392
SO - 000159,Online,2018-06-06,2018-07-04,28,14,47,60,1,1,857.6,686.08,857.6,171.[phone]
SO - 000160,In-Store,2018-06-07,2018-06-16,9,11,33,238,20,5,3892.[phone],2880.598,19463.5,5060.51
SO - 000161,In-Store,2018-06-07,2018-06-15,8,3,26,151,21,6,3477.3,1390.92,20863.[phone],10571.54475
SO - 000162,Online,2018-06-07,2018-06-21,14,13,20,152,44,5,3738.6,2803.95,18693.0,4673.25
SO - 000163,Online,2018-06-07,2018-06-13,6,20,6,262,8,5,1072.0,589.6,5360.0,2412.0
SO - 000164,In-Store,2018-06-07,2018-07-02,25,5,40,120,46,7,2257.9,1761.162,15805.[phone],3477.[phone]
SO - 000165,Online,2018-06-07,2018-06-13,6,18,23,233,46,3,1058.[phone],751.[phone],3175.8,920.982
SO - 000166,Online,2018-06-07,2018-06-25,18,13,38,77,39,4,2492.4,1296.048,9969.6,4785.408
SO - 000167,In-Store,2018-06-07,2018-06-21,14,4,30,69,11,5,3852.5,2465.6,19262.5,6934.5
SO - 000168,Distributor,2018-06-08,2018-06-25,17,23,42,215,37,8,241.[phone],132.[phone],1929.[phone],868.[phone]
SO - 000169,In-Store,2018-06-08,2018-06-17,9,9,1,30,35,2,1051.9,494.[phone],2103.8,1115.[phone]
SO - 000170,Distributor,2018-06-08,2018-06-19,11,25,11,169,10,5,227.8,107.066,1139.0,603.67
SO - 000171,Distributor,2018-06-08,2018-06-15,7,24,4,333,14,5,1078.7,506.989,5393.5,2858.[phone]
SO - 000172,Wholesale,2018-06-08,2018-06-20,12,28,6,96,10,8,1005.0,743.7,8040.0,2090.[phone]
SO - 000173,Distributor,2018-06-08,2018-07-09,31,24,17,289,45,5,2485.[phone],1317.[phone],12428.[phone],5841.395
SO - 000174,In-Store,2018-06-08,2018-07-06,28,3,7,140,22,3,2659.9,2154.[phone],7979.[phone],1516.143
SO - 000175,In-Store,2018-06-09,2018-07-03,24,1,1,107,1,1,2224.4,1579.324,2224.4,645.076
SO - 000176,In-Store,2018-06-09,2018-06-16,7,11,27,338,35,7,2472.3,1260.873,17306.[phone],8479.[phone]
SO - 000177,In-Store,2018-06-09,2018-06-24,15,5,33,232,15,5,1011.7,799.243,5058.5,1062.[phone]
SO - 000178,Wholesale,2018-06-09,2018-07-13,34,26,28,231,28,6,234.5,128.[phone],1407.0,633.[phone]
SO - 000179,Online,2018-06-09,2018-06-17,8,13,42,158,11,4,261.3,143.[phone],1045.2,470.[phone]
SO - 000180,Online,2018-06-09,2018-07-01,22,18,5,36,29,7,4006.6,2844.[phone],28046.2,8133.[phone]
SO - 000181,In-Store,2018-06-09,2018-07-13,34,3,10,206,28,7,1333.3,866.645,9333.1,3266.[phone]
SO - 000182,In-Store,2018-06-10,2018-07-09,29,10,34,255,15,5,167.5,90.45,837.5,385.25
SO - 000183,Online,2018-06-10,2018-07-02,22,14,23,336,27,7,3195.9,1821.[phone],22371.3,9619.[phone]
SO - 000184,Online,2018-06-10,2018-07-05,25,20,18,307,15,1,1051.9,809.[phone],1051.9,241.937
SO - 000185,Online,2018-06-10,2018-07-03,23,15,8,9,28,4,5447.1,3540.[phone],21788.4,7625.[phone]
SO - 000186,Online,2018-06-10,2018-06-24,14,13,36,200,18,2,3182.5,1973.15,6365.0,2418.7
SO - 000187,In-Store,2018-06-11,2018-07-01,20,6,47,337,30,3,891.1,632.681,2673.3,775.[phone]
SO - 000188,Online,2018-06-11,2018-06-19,8,15,27,158,31,2,3892.[phone],2724.89,7785.[phone],2335.[phone]
SO - 000189,Online,2018-06-11,2018-06-16,5,13,5,249,8,2,3953.0,3360.[phone],7906.0,1185.[phone]
SO - 000190,Online,2018-06-11,2018-07-07,26,20,38,185,5,2,924.6,545.514,1849.2,758.172
SO - 000191,Online,2018-06-11,2018-07-08,27,20,21,189,10,7,3430.4,1989.[phone],24012.8,10085.376
SO - 000192,Distributor,2018-06-11,2018-07-06,25,22,24,170,43,7,1152.4,622.296,8066.[phone],3710.[phone]
SO - 000193,Distributor,2018-06-11,2018-06-24,13,21,25,130,37,4,1085.4,922.59,4341.6,651.[phone]
SO - 000194,In-Store,2018-06-12,2018-06-22,10,5,11,149,15,5,5031.7,3948.[phone],25158.5,5031.[phone]
SO - 000195,Distributor,2018-06-12,2018-07-03,21,24,17,99,33,7,1092.[phone],436.[phone],7644.[phone],4586.82
SO - 000196,Wholesale,2018-06-12,2018-06-27,15,27,5,21,17,7,187.6,144.452,1313.2,302.[phone]
SO - 000197,Online,2018-06-12,2018-07-16,34,18,30,90,1,4,3993.[phone],2835.172,15972.[phone],4632.[phone]
SO - 000198,Online,2018-06-12,2018-06-18,6,14,9,360,15,5,2472.3,1433.934,12361.5,5191.83
SO - 000199,In-Store,2018-06-12,2018-07-14,32,4,47,23,47,4,1206.0,844.[phone],4824.0,1447.[phone]
SO - 000200,Online,2018-06-12,2018-06-29,17,20,5,144,40,5,1728.[phone],985.302,8643.0,3716.49
SO - 000201,Wholesale,2018-06-12,2018-06-29,17,28,23,134,23,7,1983.2,1447.736,13882.4,3748.[phone]
SO - 000202,Online,2018-06-12,2018-07-14,32,20,14,180,11,2,5313.1,2656.55,10626.2,5313.1
SO - 000203,Distributor,2018-06-12,2018-06-25,13,20,44,58,23,5,871.0,566.15,4355.0,1524.25
SO - 000204,Online,2018-06-13,2018-07-01,18,12,38,175,43,2,2532.6,2051.406,5065.2,962.[phone]
SO - 000205,Online,2018-06-13,2018-06-26,13,14,14,95,1,4,5916.1,3948.[phone],23664.4,4969.[phone]
SO - 000206,Online,2018-06-13,2018-07-01,18,13,34,231,31,1,2887.[phone],1443.[phone],2887.[phone],1443.[phone]
SO - 000207,In-Store,2018-06-13,2018-06-22,9,1,13,199,11,7,1855.9,1447.602,12991.[phone],2858.[phone]
SO - 000208,In-Store,2018-06-13,2018-06-19,6,2,5,58,39,5,207.[phone],135.[phone],1038.5,363.[phone]
SO - 000209,In-Store,2018-06-13,2018-07-06,23,2,2,345,3,3,1058.[phone],772.[phone],3175.8,857.[phone]
SO - 000210,Online,2018-06-13,2018-07-13,30,13,17,241,20,7,958.1,517.374,6706.7,3085.[phone]
SO - 000211,In-Store,2018-06-13,2018-07-18,35,6,40,186,27,7,2659.9,1675.737,18619.3,6889.141
SO - 000212,In-Store,2018-06-13,2018-07-13,30,7,15,144,8,3,2217.[phone],1707.[phone],6653.1,1530.[phone]
SO - 000213,Online,2018-06-14,2018-06-20,6,20,12,40,11,1,1715.2,857.6,1715.2,857.6
SO - 000214,In-Store,2018-06-14,2018-07-09,25,6,25,288,32,7,3932.9,1691.147,27530.3,10571.54475
SO - 000215,In-Store,2018-06-14,2018-06-20,6,2,13,169,40,2,2546.0,1909.5,5092.0,1273.0
SO - 000216,Online,2018-06-14,2018-07-01,17,15,18,277,21,1,837.5,603.0,837.5,234.5
SO - 000217,Online,2018-06-14,2018-07-05,21,16,3,219,12,3,1809.0,1302.48,5427.0,1519.56
SO - 000218,Wholesale,2018-06-14,2018-07-03,19,26,25,306,11,8,857.6,514.56,6860.8,2744.[phone]
SO - 000219,In-Store,2018-06-14,2018-07-07,23,8,11,7,22,6,1748.7,1101.681,10492.2,3882.[phone]
SO - 000220,Wholesale,2018-06-14,2018-06-17,3,28,44,78,4,1,1266.3,582.498,1266.3,683.[phone]
SO - 000221,In-Store,2018-06-14,2018-06-22,8,3,30,28,9,5,5058.5,3591.535,25292.5,7334.[phone]
SO - 000222,Distributor,2018-06-14,2018-07-06,22,22,38,39,6,7,958.1,795.223,6706.7,1140.[phone]
SO - 000223,Online,2018-06-14,2018-07-14,30,19,47,122,2,8,1802.3,756.966,14418.4,8362.[phone]
SO - 000224,In-Store,2018-06-15,2018-07-16,31,4,17,48,32,4,6298.0,3948.[phone],25192.0,7053.[phone]
SO - 000225,Online,2018-06-15,2018-07-06,21,18,28,1,30,1,2499.1,1824.[phone],2499.1,674.[phone]
